item_id,condition,item,context_n,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,probe,filename,pos,modified
95,sol,sol9,7,The,audience,applauded,the,artist,for,####,####,####,####,####,####,####,####,the,filler_sol9,n,0
96,sol,sol11,12,The,girls,met,the,commander,at,the,party,and,heard,about,####,####,####,his,filler_sol11,n,0
97,sol,sol13,13,The,understudies,envied,the,actor,for,the,play's,success,and,longed,for,####,####,his,filler_sol13,n,0
98,sol,sol15,11,The,ministers,blamed,the,king,for,the,crisis,and,asked,####,####,####,####,for,filler_sol15,n,0
99,sol,sol17,11,The,mothers,told,the,farmer,about,the,smoke,and,complained,####,####,####,####,about,filler_sol17,n,0
100,sol,sol19,10,The,reporters,asked,the,doctor,about,the,incident,and,####,####,####,####,####,they,filler_sol19,v,1
101,sol,sol21,12,The,warriors,fought,the,soldier,for,many,hours,and,succumbed,to,####,####,####,his,filler_sol21,n,0
102,sol,sol23,15,The,advisors,blamed,the,president,for,the,recent,problems,and,disagreed,with,his,plans,to,filler_sol23,v,0
103,sol,sol25,11,The,villagers,worshipped,the,priest,very,devoutly,and,prayed,for,####,####,####,####,his,filler_sol25,n,0
104,sol,sol27,11,The,townspeople,ignored,the,stranger,most,of,the,time,and,####,####,####,####,they,filler_sol27,v,1
105,sol,sol29,11,The,family,loved,the,lawyer,very,deeply,and,mourned,over,####,####,####,####,his,filler_sol29,n,0
106,sol,sol31,10,The,visitors,awaited,the,director,for,half,an,hour,####,####,####,####,####,to,filler_sol31,v,1
107,sol,sol33,9,The,women,obeyed,the,policeman,in,confusion,and,####,####,####,####,####,####,she,filler_sol33,v,1
108,sol,sol35,12,The,journalists,interviewed,the,congressman,about,the,scandal,and,inquired,about,####,####,####,his,filler_sol35,n,0
109,sol,sol37,9,The,housekeepers,called,the,plumber,about,the,leak,####,####,####,####,####,####,to,filler_sol37,v,1
110,sol,sol39,10,The,agents,arrested,the,terrorist,at,the,library,and,####,####,####,####,####,they,filler_sol39,v,1
111,sol,sol41,12,The,employees,criticized,the,executive,during,the,meeting,and,disapproved,of,####,####,####,his,filler_sol41,n,0
112,sol,sol43,15,The,fans,applauded,the,player,after,the,show,and,asked,for,his,autograph,while,he,filler_sol43,v,1
113,sol,sol45,7,The,readers,boycotted,the,reporter,for,####,####,####,####,####,####,####,####,the,filler_sol45,n,0
114,sol,sol47,14,The,patients,trusted,the,therapist,despite,the,rumors,and,swore,by,his,qualifications,####,in,filler_sol47,n,0
115,sol,sol49,7,The,judges,disqualified,the,athlete,before,####,####,####,####,####,####,####,####,the,filler_sol49,n,0
116,sol,sol51,7,The,residents,blamed,the,sheriff,for,####,####,####,####,####,####,####,####,the,filler_sol51,n,0
117,sol,sol53,12,The,secretaries,sued,the,psychiatrist,after,years,of,verbal,abuse,and,####,####,####,they,filler_sol53,v,1
118,sol,sol55,14,The,ambassadors,met,the,emperor,during,the,country's,best,years,and,wrote,about,####,his,filler_sol55,n,0
119,sol,sol57,13,The,critics,praised,the,photographer,in,all,the,newspapers,and,raved,about,####,####,his,filler_sol57,n,0
120,sol,sol59,10,The,burglars,robbed,the,knight,of,the,paintings,and,####,####,####,####,####,they,filler_sol59,v,1
121,sol,sol61,12,The,organizers,offended,the,scientist,by,requesting,the,original,data,and,####,####,####,he,filler_sol61,v,1
122,sol,sol63,12,The,squirrels,delighted,the,runner,by,scurrying,around,and,lightened,up,####,####,####,his,filler_sol63,n,0
123,sol,sol65,15,The,prisoners,bribed,the,officer,to,get,the,tobacco,and,relied,on,his,staff,to,filler_sol65,v,0
124,sol,sol67,6,The,defendants,urged,the,judge,####,####,####,####,####,####,####,####,####,to,filler_sol67,v,0
125,sol,sol69,8,The,actors,called,the,producer,to,discuss,####,####,####,####,####,####,####,the,filler_sol69,n,0
126,sol,sol71,7,The,foxes,attacked,the,hunter,during,####,####,####,####,####,####,####,####,the,filler_sol71,n,0
127,sol,sol73,10,The,journalists,interviewed,the,coach,during,the,playoffs,and,####,####,####,####,####,they,filler_sol73,v,1
128,sol,sol75,8,The,pirates,released,the,captain,after,receiving,####,####,####,####,####,####,####,the,filler_sol75,n,0
129,sol,sol77,15,The,gallery,owners,called,the,painter,about,the,sales,and,asked,for,his,permission,to,filler_sol77,v,0
130,sol,sol79,10,The,clients,visited,the,attorney,at,the,law,firm,####,####,####,####,####,to,filler_sol79,v,1
