item_id,condition,item,context_n,Group,w1,w2,w3,w4,w5,w6,w7,w8,probe,target,filename
23,b,83b.,9,B,The,dance,instructor,noticed,which,performers,the,onlookers,had,impressed,exp_23b
24,a,84a.,9,B,The,high,schooler,heard,which,geek,the,jock,had,bullied,exp_24a
24,b,84b.,9,A,The,high,schooler,heard,which,jock,the,geek,had,bullied,exp_24b
25,a,85a.,8,A,The,parent,saw,which,child,the,lifeguard,####,had,rescued,exp_25a
25,b,85b.,8,B,The,parent,saw,which,lifeguard,the,child,####,had,rescued,exp_25b
26,a,86a.,8,B,The,ringmaster,recognized,which,cheetah,the,tamer,####,had,trained,exp_26a
26,b,86b.,8,A,The,ringmaster,recognized,which,tamer,the,cheetah,####,had,trained,exp_26b
27,a,87a.,9,A,The,travel,agent,recorded,which,innkeeper,the,guests,had,liked,exp_27a
27,b,87b.,9,B,The,travel,agent,recorded,which,guests,the,innkeeper,had,liked,exp_27b
28,a,88a.,9,B,The,bird,watcher,saw,which,photographer,the,hawk,had,attacked,exp_28a
28,b,88b.,9,A,The,bird,watcher,saw,which,hawk,the,photographer,had,attacked,exp_28b
29,a,89a.,9,A,The,costume,designer,confirmed,which,actor,the,barber,had,shaved,exp_29a
29,b,89b.,9,B,The,costume,designer,confirmed,which,barber,the,actor,had,shaved,exp_29b
30,a,90a.,9,B,The,Indian,king,identified,which,prince,the,elephant,had,trampled,exp_30a
30,b,90b.,9,A,The,Indian,king,identified,which,elephant,the,prince,had,trampled,exp_30b
31,a,91a.,8,A,The,investigator,discovered,which,couple,the,abductor,####,had,taken,exp_31a
31,b,91b.,8,B,The,investigator,discovered,which,abductor,the,couple,####,had,taken,exp_31b
32,a,92a.,9,B,The,jail,keeper,forgot,which,guard,the,prisoner,had,attacked,exp_32a
32,b,92b.,9,A,The,jail,keeper,forgot,which,prisoner,the,guard,had,attacked,exp_32b
33,a,93a.,8,A,The,sailor,saw,which,whale,the,man,####,had,harpooned,exp_33a
33,b,93b.,8,B,The,sailor,saw,which,man,the,whale,####,had,harpooned,exp_33b
34,a,94a.,8,B,The,sheriff,recalled,which,locals,the,gangsters,####,had,robbed,exp_34a
34,b,94b.,8,A,The,sheriff,recalled,which,gangsters,the,locals,####,had,robbed,exp_34b
35,a,95a.,9,A,The,undead,king,recognized,which,woman,the,zombie,had,bitten,exp_35a
35,b,95b.,9,B,The,undead,king,recognized,which,zombie,the,woman,had,bitten,exp_35b
36,a,96a.,7,B,Tonia,explained,which,housewife,the,conman,####,####,had,swindled,exp_36a
36,b,96b.,7,A,Tonia,explained,which,conman,the,housewife,####,####,had,swindled,exp_36b
37,a,97a.,8,A,The,broadcaster,explained,which,contestant,the,judge,####,had,disqualified,exp_37a
37,b,97b.,8,B,The,broadcaster,explained,which,judge,the,contestant,####,had,disqualified,exp_37b
38,a,98a.,9,B,The,campaign,volunteer,speculated,which,mayor,the,voters,had,elected,exp_38a
38,b,98b.,9,A,The,campaign,volunteer,speculated,which,voters,the,mayor,had,elected,exp_38b
39,a,99a.,9,A,The,family,counselor,understood,which,daughter,the,stepparent,had,abused,exp_39a
39,b,99b.,9,B,The,family,counselor,understood,which,stepparent,the,daughter,had,abused,exp_39b
40,a,100a.,8,B,The,newscaster,confirmed,which,fugitive,the,policeman,####,had,arrested,exp_40a
40,b,100b.,8,A,The,newscaster,confirmed,which,policeman,the,fugitive,####,had,arrested,exp_40b
41,a,101a.,9,A,The,opera,composer,revealed,which,pirate,the,singer,had,portrayed,exp_41a
41,b,101b.,9,B,The,opera,composer,revealed,which,singer,the,pirate,had,portrayed,exp_41b
42,a,102a.,9,B,The,prison,warden,guessed,which,jailer,the,inmate,had,stabbed,exp_42a
42,b,102b.,9,A,The,prison,warden,guessed,which,inmate,the,jailer,had,stabbed,exp_42b
43,a,103a.,8,A,The,producer,observed,which,viewers,the,acrobats,####,had,impressed,exp_43a
43,b,103b.,8,B,The,producer,observed,which,acrobats,the,viewers,####,had,impressed,exp_43b
44,a,104a.,8,B,The,queen,recognized,which,nobleman,the,comedian,####,had,entertained,exp_44a
44,b,104b.,8,A,The,queen,recognized,which,comedian,the,nobleman,####,had,entertained,exp_44b
45,a,105a.,8,A,The,reporter,inquired,which,animals,the,groomer,####,had,cleaned,exp_45a
45,b,105b.,8,B,The,reporter,inquired,which,groomer,the,animals,####,had,cleaned,exp_45b
46,a,106a.,9,B,The,ape,researcher,identified,which,chimpanzee,the,poacher,had,shot,exp_46a
46,b,106b.,9,A,The,ape,researcher,identified,which,poacher,the,chimpanzee,had,shot,exp_46b
47,a,107a.,8,A,The,boatman,saw,which,shark,the,diver,####,had,speared,exp_47a
47,b,107b.,8,B,The,boatman,saw,which,diver,the,shark,####,had,speared,exp_47b
48,a,108a.,9,B,The,committee,member,guessed,which,advisors,the,president,had,appointed,exp_48a
48,b,108b.,9,A,The,committee,member,guessed,which,president,the,advisors,had,appointed,exp_48b
49,a,109a.,8,A,The,farmer,indicated,which,donkey,the,townsperson,####,had,bought,exp_49a
49,b,109b.,8,B,The,farmer,indicated,which,townsperson,the,donkey,####,had,bought,exp_49b
50,a,110a.,9,B,The,military,man,knew,which,soldiers,the,general,had,promoted,exp_50a
50,b,110b.,9,A,The,military,man,knew,which,general,the,soldiers,had,promoted,exp_50b
51,a,111a.,9,A,The,parole,officer,confirmed,which,delinquent,the,psychologist,had,treated,exp_51a
51,b,111b.,9,B,The,parole,officer,confirmed,which,psychologist,the,delinquent,had,treated,exp_51b
52,a,112a.,8,B,The,policeman,knew,which,suspect,the,detective,####,had,arrested,exp_52a
52,b,112b.,8,A,The,policeman,knew,which,detective,the,suspect,####,had,arrested,exp_52b
53,a,113a.,8,A,The,priest,knew,which,demon,the,exorcist,####,had,expelled,exp_53a
53,b,113b.,8,B,The,priest,knew,which,exorcist,the,demon,####,had,expelled,exp_53b
54,a,114a.,7,B,Jack,observed,which,passenger,the,conductor,####,####,had,removed,exp_54a
54,b,114b.,7,A,Jack,observed,which,conductor,the,passenger,####,####,had,removed,exp_54b
55,a,115a.,7,A,Teresa,knew,which,neighbor,the,parrot,####,####,had,bitten,exp_55a
55,b,115b.,7,B,Teresa,knew,which,parrot,the,neighbor,####,####,had,bitten,exp_55b
56,a,116a.,9,B,The,art,critic,identified,which,model,the,artist,had,drawn,exp_56a
56,b,116b.,9,A,The,art,critic,identified,which,artist,the,model,had,drawn,exp_56b
57,a,117a.,9,A,The,cotton,farmer,wondered,which,master,the,slave,had,escaped,exp_57a
57,b,117b.,9,B,The,cotton,farmer,wondered,which,slave,the,master,had,escaped,exp_57b
58,a,118a.,8,B,The,farmhand,recorded,which,goats,the,breeder,####,had,sold,exp_58a
58,b,118b.,8,A,The,farmhand,recorded,which,breeder,the,goats,####,had,sold,exp_58b
59,a,119a.,8,A,The,four-year-old,knew,which,hero,the,dragon,####,had,eaten,exp_59a
59,b,119b.,8,B,The,four-year-old,knew,which,dragon,the,hero,####,had,eaten,exp_59b
60,a,120a.,9,B,The,security,guard,investigated,which,patrolman,the,loiterer,had,evaded,exp_60a
60,b,120b.,9,A,The,security,guard,investigated,which,loiterer,the,patrolman,had,evaded,exp_60b
